id,numero,rep,TypeVoie,NomVoieReste,code_postal,nom_commune,x,y,IdentifiantImmeuble,NumeroVoieImmeuble,ComplementNumeroVoieImmeuble,TypeVoieImmeuble,NomVoieImmeuble,CodePostalImmeuble,CommuneImmeuble,CoordonneeImmeubleX,CoordonneeImmeubleY,Label
12065_0062_00035,46,bis,Avenue,de l'hôte,98120,Pary,122621.11,1240779.56,IMB/12065/X/0087,46,,Rue,de l'hôtel,98120,Pary,122621.11,1240779.56,0
12065_0062_00036,54,C,Place,de l'herbier,88120,Castelnau,142621.11,1440779.56,IMB/12065/X/0088,54,C,Place,de l'herbe,88120,Castelnau,142621.11,1440779.56,0
12065_0062_00031,33,ter,Route,de Pary,78120,Castres,162621.11,1640779.56,IMB/12065/X/0083,33,T,Route,de Paris,78120,Castres,162521.11,1640379.56,0
12065_0062_00033,6,,Impasse,de Saint Thomas,58120,Ile d'Ieux,362621.11,3640779.56,IMB/12065/X/0085,6,,Ruelle,de St-Tomas,58120,Ile d'Ieux,352621.11,3540779.56,0
12140_b267_03121,3121,,route,de marroule,12200,Martiel,611103.36,6366597.37,IMB/12208/X/003V,522,,avenue,de Millau,12400,St-Affrique,692138.433,6316572.726,0
12287_jxal1a_00217,217,,impasse,du Mas de Maury,12200,Vailhourles,611897.48,6356657.04,IMB/12287/X/006S,217,,impasse,du Mas de Maury,12200,Vailhourles,611885.6136,6356651.746,1
12140_xc3g2o_00017,17,,place,du caquet,12200,Martiel,613396.44,6361076.4,IMB/12223/X/009G,1,,rue,des Orgues,12420,Argences en Aubrac,687241.686,6411059.604,0
12140_7ttzrw_00195,195,,rue,de salelles,12200,Martiel,613540.08,6364590.03,IMB/12140/X/0083,195,,rue,de Salelles,12200,Martiel,613527.9647,6364585.542,1
12140_ochipt_00012,12,,route,des dolmens,12200,Martiel,613957.42,6364964.38,IMB/12140/X/00EG,12,,route,des Dolmens,12200,Martiel,613951.717,6364976.066,1
12140_u2jrbu_00046,46,,impasse,émile gasc,12200,Martiel,613984.39,6364885.69,IMB/12203/X/007G,1,,rue,des Cardonilles,12250,Roquefort-sur-Soulzon,696676.7924,6319047.691,0
